Epochs,Validation Scores,Validation Running Scores,Train
76,0.1560710364436899,,
77,0.15381215919114766,,
78,0.14991536195157096,,
79,0.1551995406698552,,
80,0.15672343624868923,,
0,,0.43290018318738377,
1,,0.343560349687727,
2,,0.30396706503557247,
3,,0.27740978507143965,
4,,0.2563368272062184,
5,,0.2533983239878176,
6,,0.23420371133640097,
7,,0.2338346003962215,
8,,0.22674995777843934,
9,,0.22695763446325953,
10,,0.21851298953212486,
11,,0.2090570872791836,
12,,0.21234474122886443,
13,,0.20207905102547052,
14,,0.20225067765245008,
15,,0.20052775456376062,
16,,0.1979274502098431,
17,,0.19152555307341068,
18,,0.18347353948209072,
19,,0.18974276635142612,
20,,0.18653079965911779,
21,,0.18889831170559368,
22,,0.18866356908175577,
23,,0.1814612006108089,
24,,0.18235127278361082,
25,,0.18233203574022305,
26,,0.180405685026522,
27,,0.1746025797005536,
28,,0.17901035858570444,
29,,0.17192273245503506,
30,,0.16342346607658934,
31,,0.16527782812408987,
32,,0.1623406347344927,
33,,0.16159668516492173,
34,,0.16079287456725272,
35,,0.15553502151791085,
36,,0.15701656266497188,
37,,0.16824044618826722,
38,,0.16870137017031084,
39,,0.15773127730871137,
40,,0.16962752875810516,
41,,0.1508606642023046,
42,,0.1508606642023046,
43,,0.1508606642023046,
44,,0.1508606642023046,
45,,0.1508606642023046,
46,,0.1508606642023046,
47,,0.1508606642023046,
48,,0.1508606642023046,
49,,0.1508606642023046,
50,,0.1508606642023046,
51,,0.1508606642023046,
52,,0.1508606642023046,
53,,0.1508606642023046,
54,,0.1508606642023046,
55,,0.1508606642023046,
56,,0.1508606642023046,
57,,0.1508606642023046,
58,,0.1508606642023046,
59,,0.1508606642023046,
60,,0.1508606642023046,
61,,0.14736915634421166,
62,,0.1539427243118957,
63,,0.156763513449227,
64,,0.14889165620034975,
65,,0.14804854486889477,
66,,0.14866820355180405,
67,,0.14799412420304886,
68,,0.15165777175530415,
69,,0.14658309565250724,
70,,0.14904550276130774,
71,,0.15452870534257576,
72,,0.15222590564412208,
73,,0.15686615561207873,
74,,0.14602198563584856,
75,,0.1522184398341374,
76,,0.1560710364436899,
77,,0.15381215919114766,
78,,0.14991536195157096,
79,,0.1551995406698552,
80,,0.15672343624868923,
0,,,0.4339699149131775
1,,,0.5975290536880493
2,,,1.3176958560943604
3,,,1.2579914331436157
4,,,0.1908089816570282
5,,,0.16400964558124542
6,,,0.3579682409763336
7,,,0.024152163416147232
8,,,0.5340883731842041
9,,,0.6636371612548828
10,,,0.04976745694875717
11,,,1.7500545978546143
12,,,0.20998165011405945
13,,,0.03251063823699951
14,,,0.476531982421875
15,,,0.25674253702163696
16,,,0.11471694707870483
17,,,0.06826826184988022
18,,,0.11953423917293549
19,,,0.3415524661540985
20,,,0.01146420743316412
21,,,0.6661814451217651
22,,,0.1718113124370575
23,,,0.05970250442624092
24,,,0.0823088064789772
25,,,0.1908423900604248
26,,,0.3731544613838196
27,,,0.23041696846485138
28,,,0.4666784405708313
29,,,0.061952121555805206
30,,,0.06741726398468018
31,,,0.36013513803482056
32,,,0.1595418006181717
33,,,0.08224602043628693
34,,,0.11383434385061264
35,,,1.1049611568450928
36,,,0.08229580521583557
37,,,0.04456523060798645
38,,,1.239608645439148
39,,,0.04132949933409691
40,,,0.4036981463432312
41,,,0.06454946845769882
42,,,0.2826838493347168
43,,,0.5007606744766235
44,,,0.030651113018393517
45,,,0.3992445766925812
46,,,0.5469405055046082
47,,,0.7877545952796936
48,,,0.21941733360290527
49,,,0.061907220631837845
50,,,0.08898191154003143
51,,,0.04920303076505661
52,,,0.3210286498069763
53,,,0.48788729310035706
54,,,0.022105613723397255
55,,,0.37386074662208557
56,,,0.010029308497905731
57,,,0.9621232151985168
58,,,0.06162789463996887
59,,,0.41256141662597656
60,,,0.09260009974241257
61,,,0.24991706013679504
62,,,0.03198470175266266
63,,,0.050876520574092865
64,,,0.038333505392074585
65,,,0.2458098828792572
66,,,0.10006780922412872
67,,,0.678056001663208
68,,,0.008512443862855434
69,,,0.020943451672792435
70,,,0.29541781544685364
71,,,0.013369588181376457
72,,,0.2288733422756195
73,,,0.37134820222854614
74,,,0.08595945686101913
75,,,0.041997671127319336
76,,,0.1390204280614853
77,,,0.05204576253890991
78,,,0.03181254118680954
79,,,0.1325720101594925
80,,,0.018214954063296318
