Wall time,Step,Value
1768412980.5664454,147,119.41388702392578
1768412991.3793185,148,147.5843505859375
1768412994.5995584,149,112.52029418945312
1768413006.7502234,150,135.6665802001953
1768413011.55123,151,122.245361328125
1768413021.2640533,152,132.31881713867188
1768413026.2478733,153,117.65303802490234
1768413034.7462583,154,130.72364807128906
1768413045.151317,155,145.21966552734375
1768413058.074405,156,158.49267578125
1768413066.0870416,157,123.28279113769531
1768413076.1605155,158,113.21284484863281
1768413080.3266091,159,114.84036254882812
1768413088.1676953,160,125.09402465820312
1768413094.9208188,161,120.83777618408203
1768413101.5117257,162,126.50456237792969
1768413113.1479034,163,118.60070037841797
1768413122.1216147,164,134.3572998046875
1768413130.7797847,165,134.0201873779297
1768413145.1555762,166,143.57980346679688
1768413148.4035192,167,114.7229232788086
1768413155.7781875,168,127.78070831298828
1768413163.459732,169,121.11309814453125
1768413177.174633,170,168.00283813476562
1768413186.5684285,171,126.53395080566406
1768413193.5929291,172,132.16224670410156
1768413202.7266345,173,137.8632049560547
1768413210.4079394,174,139.4030303955078
1768413218.2519076,175,128.05970764160156
1768413232.1174736,176,153.5640411376953
1768413236.9648583,177,109.26493835449219
1768413249.1157045,178,151.23983764648438
1768413262.787206,179,139.9691925048828
1768413272.690853,180,143.64736938476562
1768413282.4047081,181,146.0758056640625
1768413287.0809748,182,113.23106384277344
1768413302.3955188,183,157.2993927001953
1768413307.5157201,184,118.39013671875
1768413320.9035497,185,143.2628173828125
1768413331.4695668,186,121.57827758789062
1768413340.1290529,187,133.22572326660156
1768413346.085282,188,116.36639404296875
1768413360.5482206,189,158.92132568359375
1768413373.743061,190,142.16485595703125
1768413381.4242616,191,117.64862060546875
1768413390.876199,192,134.37538146972656
1768413397.6117535,193,121.27383422851562
1768413406.7225091,194,130.16098022460938
1768413415.040793,195,129.0113525390625
1768413416.3922343,196,104.45714569091797
1768413428.5420933,197,159.17849731445312
1768413441.8953295,198,170.0875701904297
1768413455.6359708,199,153.74253845214844
1768413465.8804126,200,120.83098602294922
1768413476.378047,201,154.70545959472656
1768413483.7634685,202,138.5310516357422
1768413495.212495,203,145.55860900878906
1768413520.1952076,204,139.517822265625
1768413528.3637996,205,119.12848663330078
1768413534.436428,206,113.44898223876953
1768413542.4345894,207,123.99053955078125
1768413550.4016964,208,134.29969787597656
1768413560.465964,209,141.43557739257812
1768413570.3585606,210,147.08245849609375
1768413576.7697515,211,128.24855041503906
1768413581.7532833,212,121.90032196044922
1768413597.0827875,213,142.83554077148438
1768413607.6341136,214,145.5850067138672
1768413617.3465664,215,135.72706604003906
1768413625.5289826,216,131.00856018066406
1768413638.9083247,217,147.2959442138672
1768413648.1459448,218,144.00257873535156
1768413656.7794697,219,132.58200073242188
1768413659.7069683,220,112.48709106445312
1768413666.731674,221,129.6123809814453
1768413679.031819,222,148.74749755859375
1768413691.7839506,223,153.196533203125
1768413698.5121698,224,131.5872039794922
1768413711.2886195,225,152.5325469970703
1768413719.6056762,226,123.82069396972656
1768413729.3867319,227,147.1563720703125
1768413741.695028,228,159.0874786376953
1768413750.9667916,229,137.97647094726562
1768413757.8545034,230,123.22516632080078
1768413765.3999934,231,132.52835083007812
1768413776.2459774,232,148.35061645507812
1768413784.402976,233,112.9935302734375
1768413791.4618683,234,129.34873962402344
1768413795.6622717,235,106.35984802246094
1768413804.0011961,236,137.02786254882812
1768413818.4651134,237,144.24298095703125
1768413827.7018552,238,142.50413513183594
1768413836.972885,239,134.71731567382812
1768413848.636103,240,148.3201446533203
1768413859.1995301,241,153.33998107910156
1768413871.6345983,242,151.97750854492188
1768413882.0147982,243,153.20362854003906
1768413890.6159303,244,135.40267944335938
1768413896.8919706,245,120.32737731933594
1768413908.5275784,246,158.67941284179688
1768413913.2038848,247,116.9108657836914
1768413922.4840093,248,143.8317413330078
1768413936.3359742,249,134.16624450683594
1768413943.8367815,250,136.33055114746094
1768413957.5670257,251,149.96673583984375
1768413965.2482045,252,137.21844482421875
1768413977.241914,253,144.62631225585938
1768413989.710848,254,151.81797790527344
1768413992.481732,255,106.39098358154297
1768414002.8861063,256,146.22683715820312
1768414014.2445333,257,141.7617645263672
1768414025.7290304,258,158.62855529785156
1768414037.2454836,259,139.91461181640625
1768414045.7217464,260,126.84854888916016
1768414056.3742697,261,131.98744201660156
1768414068.456518,262,139.32574462890625
1768414081.4946706,263,141.37258911132812
1768414091.048252,264,146.53024291992188
1768414100.6249406,265,129.87802124023438
1768414108.3061788,266,127.97854614257812
1768414112.981447,267,122.30682373046875
1768414122.4230294,268,116.19264221191406
1768414161.3339367,269,109.2343978881836
1768414170.128576,270,120.88333892822266
1768414180.2159743,271,143.40599060058594
1768414189.6572402,272,135.64736938476562
1768414199.7110448,273,146.63584899902344
1768414209.1521392,274,143.97137451171875
1768414219.21514,275,131.54660034179688
1768414223.8915994,276,111.71025085449219
1768414234.7482557,277,140.19699096679688
1768414246.6739,278,138.7429656982422
1768414250.8739538,279,119.80968475341797
1768414258.2385375,280,129.19924926757812
1768414266.260515,281,132.3103790283203
1768414271.7299733,282,126.9823226928711
1768414281.95468,283,135.47618103027344
1768414289.9534009,284,125.30905151367188
1768414296.978783,285,127.33145904541016
1768414303.7180185,286,115.67887878417969
1768414313.5882993,287,150.39341735839844
1768414322.3479972,288,138.15960693359375
1768414329.1008248,289,119.82129669189453
1768414339.470544,290,132.70706176757812
1768414349.0467987,291,121.40868377685547
1768414356.115293,292,104.55462646484375
1768414364.7591813,293,126.92041015625
1768414371.7838402,294,118.72238159179688
1768414376.4599063,295,120.030029296875
1768414380.1940355,296,115.20874786376953
1768414389.1454582,297,141.09884643554688
1768414395.850539,298,123.58634948730469
1768414401.762791,299,116.28314971923828
1768414412.6329844,300,140.64959716796875
1768414420.9506788,301,141.3270263671875
1768414428.4959583,302,129.86642456054688
1768414439.3533728,303,157.19265747070312
1768414448.431227,304,131.1317901611328
1768414453.7539933,305,120.77134704589844
