Epochs,Validation Scores,Validation Running Scores
43,,0.22847758142101862
44,,0.22773603044561913
45,,0.21951932163967877
46,,0.23182260820217443
47,,0.2346789302153573
48,,0.250959706423479
49,,0.2550078640588736
50,,0.23633507746774896
51,,0.24305043096224815
52,,0.25492944303973886
53,,0.24635287523359495
54,,0.25973260171540047
55,,0.25793723772316374
56,,0.27128625774137677
57,,0.2801655484923883
58,,0.2889205260227191
59,,0.29138669266168726
60,,0.2723644432242302
61,,0.2729742178923732
62,,0.2591105706623529
63,,0.26633769728360257
64,,0.27236040821457497
65,,0.3191100834027917
66,,0.35365188811444526
67,,0.3789716975482432
68,,0.39650804761696545
69,,0.40801886271155974
70,,0.4167108151792151
71,,0.42280366187214147
72,,0.4277598802190526
73,,0.4314128167395227
74,,0.4337678589531415
75,,0.4370833262461383
76,,0.4387485737827912
77,,0.43875496965688404
78,,0.44039951406786865
79,,0.44026393078940085
80,,0.4410224912846915
81,,0.4406438770404868
82,,0.44194407366592503
83,,0.4431012978850958
84,,0.44406417324401026
85,,0.44470072404669925
86,,0.44570902731172335
87,,0.44688940678564737
88,,0.44728140842577213
89,,0.4479216204021906
90,,0.44828374280936084
91,,0.4482521378726434
92,,0.4480075853973935
93,,0.44867636889903173
94,,0.44893377764625
95,,0.4492821242843241
96,,0.4498414660322465
97,,0.45014177091436725
98,,0.45067263169067484
99,,0.4515893141927513
100,,0.4520940633681634
101,,0.4525048165149551
102,,0.45300795807436456
103,,0.35058625494616147
104,,0.3083149459203009
105,,0.26997341940622355
106,,0.24887539831782274
107,,0.24474341543493408
108,,0.2517829703663257
109,,0.24159354881895423
110,,0.24993627189871087
111,,0.2623757115237712
112,,0.2723684967557581
113,,0.26323558712765693
114,,0.26198553707887406
115,,0.2794565323702637
116,,0.27905713365227097
117,,0.27298242319939703
118,,0.2697812844215711
119,,0.2543078553053443
120,,0.2537158116023355
121,,0.25783370987009924
122,,0.3090536954132616
123,,0.34922892668260064
124,,0.3801689052532625
125,,0.4020063266841805
126,,0.41630206907453093
127,,0.42524673356482784
128,,0.4324539594078405
129,,0.43757982561350256
130,,0.44043579537193916
131,,0.444242642246509
132,,0.4451843897237277
133,,0.44848914367424486
134,,0.4500024177985923
135,,0.45018023963496956
136,,0.45281271914383225
137,,0.4547158993724531
138,,0.4546087780898854
139,,0.45321561241732855
140,,0.4536315605222333
141,,0.45397444599424097
142,,0.4540707336485306
143,,0.45413655751844567
144,,0.4550835905339421
145,,0.4557132175748254
146,,0.45596235705296906
147,,0.45620157346287177
148,,0.4565658192728572
149,,0.4570216016710965
150,,0.45743380250152077
151,,0.45744191356462277
152,,0.45731552151301025
153,,0.45723038195052196
154,,0.45741255029397254
155,,0.457443994711918
156,,0.45785742355797404
157,,0.4580900763228703
158,,0.45800672426633937
159,,0.4581712450776272
160,,0.45827031587364647
161,,0.45811038376837976
162,,0.4580312896085834
163,,0.4575953372853323
164,,0.45768939491031957
165,,0.45787662099779086
166,,0.4582001045482247
167,,0.45804262936377216
168,,0.45818739324737345
169,,0.458367091955485
170,,0.45863629665967626
171,,0.4564131548935291
172,,0.45680247227611337
173,,0.45600591759306064
174,,0.45728544042168234
175,,0.4561687946572423
176,,0.457398820943255
177,,0.4565831496595374
178,,0.45683524641049644
179,,0.4583010984153447
180,,0.45976576002883335
181,,0.4582555398082972
182,,0.4581719620085326
183,,0.4573732376078308
184,,0.4575301956562901
185,,0.4558614326376163
186,,0.45714145099596903
